Time,Value,MEASURE,Description
2010,257518,WAGE_27,Wage and Salary Earners - Persons - Aged 65 years and over (no.)
2011,284053,WAGE_27,Wage and Salary Earners - Persons - Aged 65 years and over (no.)
2009,10165480,WAGE_28,Wage and Salary Earners - Persons - Total (no.)
2010,9787143,WAGE_28,Wage and Salary Earners - Persons - Total (no.)
2011,10039401,WAGE_28,Wage and Salary Earners - Persons - Total (no.)
2009,18.1,WAGE_30,Wage and Salary Earners - Persons - Aged 15-24 years (%)
2010,17.4,WAGE_30,Wage and Salary Earners - Persons - Aged 15-24 years (%)
2011,17,WAGE_30,Wage and Salary Earners - Persons - Aged 15-24 years (%)
2009,23.7,WAGE_31,Wage and Salary Earners - Persons - Aged 25-34 years (%)
2010,23.9,WAGE_31,Wage and Salary Earners - Persons - Aged 25-34 years (%)
2011,24.2,WAGE_31,Wage and Salary Earners - Persons - Aged 25-34 years (%)
2009,22.5,WAGE_32,Wage and Salary Earners - Persons - Aged 35-44 years (%)
2010,22.2,WAGE_32,Wage and Salary Earners - Persons - Aged 35-44 years (%)
2011,22,WAGE_32,Wage and Salary Earners - Persons - Aged 35-44 years (%)
2009,20.9,WAGE_33,Wage and Salary Earners - Persons - Aged 45-54 years (%)
2010,20.9,WAGE_33,Wage and Salary Earners - Persons - Aged 45-54 years (%)
2011,20.6,WAGE_33,Wage and Salary Earners - Persons - Aged 45-54 years (%)
2009,12.6,WAGE_34,Wage and Salary Earners - Persons - Aged 55-64 years (%)
2010,13.1,WAGE_34,Wage and Salary Earners - Persons - Aged 55-64 years (%)
2011,13.3,WAGE_34,Wage and Salary Earners - Persons - Aged 55-64 years (%)
2009,2.4,WAGE_35,Wage and Salary Earners - Persons - Aged 65 years and over (%)
2010,2.6,WAGE_35,Wage and Salary Earners - Persons - Aged 65 years and over (%)
2011,2.8,WAGE_35,Wage and Salary Earners - Persons - Aged 65 years and over (%)
2010,1096456,WAGE_OCC_2,Wage and Salary Earners by Occupation - Managers (no.)
2011,1151788,WAGE_OCC_2,Wage and Salary Earners by Occupation - Managers (no.)
2010,1951966,WAGE_OCC_3,Wage and Salary Earners by Occupation - Professionals (no.)
2011,2037533,WAGE_OCC_3,Wage and Salary Earners by Occupation - Professionals (no.)
2010,1116270,WAGE_OCC_4,Wage and Salary Earners by Occupation - Technicians and trades workers (no.)
2011,1133688,WAGE_OCC_4,Wage and Salary Earners by Occupation - Technicians and trades workers (no.)
2010,950269,WAGE_OCC_5,Wage and Salary Earners by Occupation - Community and personal service workers (no.)
2011,996240,WAGE_OCC_5,Wage and Salary Earners by Occupation - Community and personal service workers (no.)
2010,1733719,WAGE_OCC_6,Wage and Salary Earners by Occupation - Clerical and administrative workers (no.)
2011,1565969,WAGE_OCC_6,Wage and Salary Earners by Occupation - Clerical and administrative workers (no.)
2010,758581,WAGE_OCC_7,Wage and Salary Earners by Occupation - Sales workers (no.)
2011,886561,WAGE_OCC_7,Wage and Salary Earners by Occupation - Sales workers (no.)
2010,576835,WAGE_OCC_8,Wage and Salary Earners by Occupation - Machinery operators and drivers (no.)
2011,594235,WAGE_OCC_8,Wage and Salary Earners by Occupation - Machinery operators and drivers (no.)
2010,1010636,WAGE_OCC_9,Wage and Salary Earners by Occupation - Labourers (no.)
2011,1035955,WAGE_OCC_9,Wage and Salary Earners by Occupation - Labourers (no.)
2010,592501,WAGE_OCC_10,Wage and Salary Earners by Occupation - Not stated (no.)
2011,637389,WAGE_OCC_10,Wage and Salary Earners by Occupation - Not stated (no.)
2010,9787143,WAGE_OCC_11,Wage and Salary Earners by Occupation - Total wage and salary earners (no.)
2011,10039401,WAGE_OCC_11,Wage and Salary Earners by Occupation - Total wage and salary earners (no.)
2010,11.2,WAGE_OCC_12,Wage and Salary Earners by Occupation - Managers (%)
2011,11.5,WAGE_OCC_12,Wage and Salary Earners by Occupation - Managers (%)
2010,19.9,WAGE_OCC_13,Wage and Salary Earners by Occupation - Professionals (%)
2011,20.3,WAGE_OCC_13,Wage and Salary Earners by Occupation - Professionals (%)
2010,11.4,WAGE_OCC_14,Wage and Salary Earners by Occupation - Technicians and trades workers (%)
2011,11.3,WAGE_OCC_14,Wage and Salary Earners by Occupation - Technicians and trades workers (%)
2010,9.7,WAGE_OCC_15,Wage and Salary Earners by Occupation - Community and personal service workers (%)
2011,9.9,WAGE_OCC_15,Wage and Salary Earners by Occupation - Community and personal service workers (%)
2010,17.7,WAGE_OCC_16,Wage and Salary Earners by Occupation - Clerical and administrative workers (%)
2011,15.6,WAGE_OCC_16,Wage and Salary Earners by Occupation - Clerical and administrative workers (%)
2010,7.8,WAGE_OCC_17,Wage and Salary Earners by Occupation - Sales workers (%)
2011,8.8,WAGE_OCC_17,Wage and Salary Earners by Occupation - Sales workers (%)
2010,5.9,WAGE_OCC_18,Wage and Salary Earners by Occupation - Machinery operators and drivers (%)
2011,5.9,WAGE_OCC_18,Wage and Salary Earners by Occupation - Machinery operators and drivers (%)
2010,10.3,WAGE_OCC_19,Wage and Salary Earners by Occupation - Labourers (%)
2011,10.3,WAGE_OCC_19,Wage and Salary Earners by Occupation - Labourers (%)
2010,6.1,WAGE_OCC_20,Wage and Salary Earners by Occupation - Not stated (%)
2011,6.3,WAGE_OCC_20,Wage and Salary Earners by Occupation - Not stated (%)
2011,1317,RENT_2,Rent and Mortgage Payments - Average monthly household rental payment ($)
2011,1994,RENT_3,Rent and Mortgage Payments - Average monthly household mortgage payment ($)
2009,93586,BUILDING_2,Building Approvals - Total private sector houses (no.)
2010,115231,BUILDING_2,Building Approvals - Total private sector houses (no.)
2011,100224,BUILDING_2,Building Approvals - Total private sector houses (no.)
2012,89906,BUILDING_2,Building Approvals - Total private sector houses (no.)
2013,91795,BUILDING_2,Building Approvals - Total private sector houses (no.)
2009,93436,BUILDING_3,Building Approvals - Total new private sector houses (no.)
2010,115105,BUILDING_3,Building Approvals - Total new private sector houses (no.)
2011,100065,BUILDING_3,Building Approvals - Total new private sector houses (no.)
2012,89749,BUILDING_3,Building Approvals - Total new private sector houses (no.)
2013,91551,BUILDING_3,Building Approvals - Total new private sector houses (no.)
2009,135350,BUILDING_4,Building Approvals - Total dwelling units (no.)
2010,176455,BUILDING_4,Building Approvals - Total dwelling units (no.)
2011,167877,BUILDING_4,Building Approvals - Total dwelling units (no.)
2012,149373,BUILDING_4,Building Approvals - Total dwelling units (no.)
2013,160086,BUILDING_4,Building Approvals - Total dwelling units (no.)
2009,28422,BUILDING_5,Building Approvals - Value of total private sector houses ($m)
2010,34698,BUILDING_5,Building Approvals - Value of total private sector houses ($m)
2011,32851,BUILDING_5,Building Approvals - Value of total private sector houses ($m)
2012,30320,BUILDING_5,Building Approvals - Value of total private sector houses ($m)
2013,29708,BUILDING_5,Building Approvals - Value of total private sector houses ($m)
2009,23050,BUILDING_6,Building Approvals - Value of new private sector housing ($m)
2010,28616,BUILDING_6,Building Approvals - Value of new private sector housing ($m)
2011,26659,BUILDING_6,Building Approvals - Value of new private sector housing ($m)
2012,24378,BUILDING_6,Building Approvals - Value of new private sector housing ($m)
2013,24904,BUILDING_6,Building Approvals - Value of new private sector housing ($m)
2009,32961,BUILDING_7,Building Approvals - Value of new residential building ($m)
2010,41709,BUILDING_7,Building Approvals - Value of new residential building ($m)
2011,41870,BUILDING_7,Building Approvals - Value of new residential building ($m)
2012,38418,BUILDING_7,Building Approvals - Value of new residential building ($m)
2013,40934,BUILDING_7,Building Approvals - Value of new residential building ($m)
2009,38865,BUILDING_8,Building Approvals - Value of total residential building ($m)
2010,48549,BUILDING_8,Building Approvals - Value of total residential building ($m)
2011,48778,BUILDING_8,Building Approvals - Value of total residential building ($m)
2012,44929,BUILDING_8,Building Approvals - Value of total residential building ($m)
2013,47416,BUILDING_8,Building Approvals - Value of total residential building ($m)
2009,31369,BUILDING_9,Building Approvals - Value of total non-residential building ($m)
2010,40757,BUILDING_9,Building Approvals - Value of total non-residential building ($m)
2011,30239,BUILDING_9,Building Approvals - Value of total non-residential building ($m)
2012,35286,BUILDING_9,Building Approvals - Value of total non-residential building ($m)
2013,34103,BUILDING_9,Building Approvals - Value of total non-residential building ($m)
2009,70234,BUILDING_10,Building Approvals - Value of total building ($m)
2010,89306,BUILDING_10,Building Approvals - Value of total building ($m)
2011,79017,BUILDING_10,Building Approvals - Value of total building ($m)
2012,80215,BUILDING_10,Building Approvals - Value of total building ($m)
2013,81520,BUILDING_10,Building Approvals - Value of total building ($m)
2009,304,BUILDING_11,Building Approvals - Average value of private sector houses ($'000)
2010,301,BUILDING_11,Building Approvals - Average value of private sector houses ($'000)
2011,328,BUILDING_11,Building Approvals - Average value of private sector houses ($'000)
2012,337,BUILDING_11,Building Approvals - Average value of private sector houses ($'000)
2013,324,BUILDING_11,Building Approvals - Average value of private sector houses ($'000)
2009,19.2,ERP_6,Estimated Resident Population - Persons - 0-14 years (%)
2010,19.1,ERP_6,Estimated Resident Population - Persons - 0-14 years (%)
2011,19,ERP_6,Estimated Resident Population - Persons - 0-14 years (%)
2012,18.9,ERP_6,Estimated Resident Population - Persons - 0-14 years (%)
2013,18.9,ERP_6,Estimated Resident Population - Persons - 0-14 years (%)
2009,14,ERP_7,Estimated Resident Population - Persons - 15-24 years (%)
2010,13.9,ERP_7,Estimated Resident Population - Persons - 15-24 years (%)
2011,13.7,ERP_7,Estimated Resident Population - Persons - 15-24 years (%)
2012,13.6,ERP_7,Estimated Resident Population - Persons - 15-24 years (%)
2013,13.4,ERP_7,Estimated Resident Population - Persons - 15-24 years (%)
2009,14.1,ERP_8,Estimated Resident Population - Persons - 25-34 years (%)
2010,14.2,ERP_8,Estimated Resident Population - Persons - 25-34 years (%)
2011,14.3,ERP_8,Estimated Resident Population - Persons - 25-34 years (%)
2012,14.5,ERP_8,Estimated Resident Population - Persons - 25-34 years (%)
2013,14.6,ERP_8,Estimated Resident Population - Persons - 25-34 years (%)
2009,14.4,ERP_9,Estimated Resident Population - Persons - 35-44 years (%)
2010,14.2,ERP_9,Estimated Resident Population - Persons - 35-44 years (%)
2011,14.2,ERP_9,Estimated Resident Population - Persons - 35-44 years (%)
2012,14,ERP_9,Estimated Resident Population - Persons - 35-44 years (%)
2013,13.9,ERP_9,Estimated Resident Population - Persons - 35-44 years (%)
2009,13.8,ERP_10,Estimated Resident Population - Persons - 45-54 years (%)
2010,13.7,ERP_10,Estimated Resident Population - Persons - 45-54 years (%)
2011,13.6,ERP_10,Estimated Resident Population - Persons - 45-54 years (%)
2012,13.4,ERP_10,Estimated Resident Population - Persons - 45-54 years (%)
2013,13.3,ERP_10,Estimated Resident Population - Persons - 45-54 years (%)
2009,11.3,ERP_11,Estimated Resident Population - Persons - 55-64 years (%)
2010,11.4,ERP_11,Estimated Resident Population - Persons - 55-64 years (%)
2011,11.5,ERP_11,Estimated Resident Population - Persons - 55-64 years (%)
2012,11.4,ERP_11,Estimated Resident Population - Persons - 55-64 years (%)
2013,11.4,ERP_11,Estimated Resident Population - Persons - 55-64 years (%)
2009,7.1,ERP_12,Estimated Resident Population - Persons - 65-74 years (%)
2010,7.3,ERP_12,Estimated Resident Population - Persons - 65-74 years (%)
2011,7.5,ERP_12,Estimated Resident Population - Persons - 65-74 years (%)
2012,7.8,ERP_12,Estimated Resident Population - Persons - 65-74 years (%)
2013,8.1,ERP_12,Estimated Resident Population - Persons - 65-74 years (%)
2009,4.5,ERP_13,Estimated Resident Population - Persons - 75-84 years (%)
2010,4.5,ERP_13,Estimated Resident Population - Persons - 75-84 years (%)
2011,4.5,ERP_13,Estimated Resident Population - Persons - 75-84 years (%)
2012,4.5,ERP_13,Estimated Resident Population - Persons - 75-84 years (%)
2013,4.5,ERP_13,Estimated Resident Population - Persons - 75-84 years (%)
2009,1.7,ERP_14,Estimated Resident Population - Persons - 85 years and over (%)
2010,1.8,ERP_14,Estimated Resident Population - Persons - 85 years and over (%)
2011,1.8,ERP_14,Estimated Resident Population - Persons - 85 years and over (%)
2012,1.8,ERP_14,Estimated Resident Population - Persons - 85 years and over (%)
2013,1.9,ERP_14,Estimated Resident Population - Persons - 85 years and over (%)
2009,731969,ERP_M_2,Estimated Resident Population - Males - 0-4 years (no.)
2010,746322,ERP_M_2,Estimated Resident Population - Males - 0-4 years (no.)
2011,748527,ERP_M_2,Estimated Resident Population - Males - 0-4 years (no.)
2012,764555,ERP_M_2,Estimated Resident Population - Males - 0-4 years (no.)
2013,779797,ERP_M_2,Estimated Resident Population - Males - 0-4 years (no.)
2009,689986,ERP_M_3,Estimated Resident Population - Males - 5-9 years (no.)
2010,697910,ERP_M_3,Estimated Resident Population - Males - 5-9 years (no.)
2011,712205,ERP_M_3,Estimated Resident Population - Males - 5-9 years (no.)
2012,729260,ERP_M_3,Estimated Resident Population - Males - 5-9 years (no.)
2013,747953,ERP_M_3,Estimated Resident Population - Males - 5-9 years (no.)
2009,711605,ERP_M_4,Estimated Resident Population - Males - 10-14 years (no.)
2010,710019,ERP_M_4,Estimated Resident Population - Males - 10-14 years (no.)
2011,711543,ERP_M_4,Estimated Resident Population - Males - 10-14 years (no.)
2012,713342,ERP_M_4,Estimated Resident Population - Males - 10-14 years (no.)
2013,716436,ERP_M_4,Estimated Resident Population - Males - 10-14 years (no.)
2009,751442,ERP_M_5,Estimated Resident Population - Males - 15-19 years (no.)
2010,749321,ERP_M_5,Estimated Resident Population - Males - 15-19 years (no.)
2011,746599,ERP_M_5,Estimated Resident Population - Males - 15-19 years (no.)
2012,750636,ERP_M_5,Estimated Resident Population - Males - 15-19 years (no.)
2013,753963,ERP_M_5,Estimated Resident Population - Males - 15-19 years (no.)
2009,813622,ERP_M_6,Estimated Resident Population - Males - 20-24 years (no.)
2010,824068,ERP_M_6,Estimated Resident Population - Males - 20-24 years (no.)
2011,823470,ERP_M_6,Estimated Resident Population - Males - 20-24 years (no.)
2012,829036,ERP_M_6,Estimated Resident Population - Males - 20-24 years (no.)
2013,838246,ERP_M_6,Estimated Resident Population - Males - 20-24 years (no.)
2009,801314,ERP_M_7,Estimated Resident Population - Males - 25-29 years (no.)
2010,826369,ERP_M_7,Estimated Resident Population - Males - 25-29 years (no.)
2011,841084,ERP_M_7,Estimated Resident Population - Males - 25-29 years (no.)
2012,859142,ERP_M_7,Estimated Resident Population - Males - 25-29 years (no.)
2013,874356,ERP_M_7,Estimated Resident Population - Males - 25-29 years (no.)
2009,738309,ERP_M_8,Estimated Resident Population - Males - 30-34 years (no.)
2010,749576,ERP_M_8,Estimated Resident Population - Males - 30-34 years (no.)
2011,769211,ERP_M_8,Estimated Resident Population - Males - 30-34 years (no.)
2012,798496,ERP_M_8,Estimated Resident Population - Males - 30-34 years (no.)
2013,833060,ERP_M_8,Estimated Resident Population - Males - 30-34 years (no.)
2009,796271,ERP_M_9,Estimated Resident Population - Males - 35-39 years (no.)
2010,794307,ERP_M_9,Estimated Resident Population - Males - 35-39 years (no.)
2011,782204,ERP_M_9,Estimated Resident Population - Males - 35-39 years (no.)
2012,774856,ERP_M_9,Estimated Resident Population - Males - 35-39 years (no.)
2013,773867,ERP_M_9,Estimated Resident Population - Males - 35-39 years (no.)
2009,750450,ERP_M_10,Estimated Resident Population - Males - 40-44 years (no.)
2010,762854,ERP_M_10,Estimated Resident Population - Males - 40-44 years (no.)
2011,786748,ERP_M_10,Estimated Resident Population - Males - 40-44 years (no.)
2012,810275,ERP_M_10,Estimated Resident Population - Males - 40-44 years (no.)
2013,824943,ERP_M_10,Estimated Resident Population - Males - 40-44 years (no.)
2009,770435,ERP_M_11,Estimated Resident Population - Males - 45-49 years (no.)
2010,770567,ERP_M_11,Estimated Resident Population - Males - 45-49 years (no.)
2011,764147,ERP_M_11,Estimated Resident Population - Males - 45-49 years (no.)
2012,759390,ERP_M_11,Estimated Resident Population - Males - 45-49 years (no.)
2013,758315,ERP_M_11,Estimated Resident Population - Males - 45-49 years (no.)
2009,709117,ERP_M_12,Estimated Resident Population - Males - 50-54 years (no.)
2010,723754,ERP_M_12,Estimated Resident Population - Males - 50-54 years (no.)
2011,739627,ERP_M_12,Estimated Resident Population - Males - 50-54 years (no.)
2012,754013,ERP_M_12,Estimated Resident Population - Males - 50-54 years (no.)
2013,766491,ERP_M_12,Estimated Resident Population - Males - 50-54 years (no.)
2009,639246,ERP_M_13,Estimated Resident Population - Males - 55-59 years (no.)
2010,648777,ERP_M_13,Estimated Resident Population - Males - 55-59 years (no.)
2011,662069,ERP_M_13,Estimated Resident Population - Males - 55-59 years (no.)
2012,675708,ERP_M_13,Estimated Resident Population - Males - 55-59 years (no.)
2013,688311,ERP_M_13,Estimated Resident Population - Males - 55-59 years (no.)
2009,579498,ERP_M_14,Estimated Resident Population - Males - 60-64 years (no.)
2010,597038,ERP_M_14,Estimated Resident Population - Males - 60-64 years (no.)
2011,611198,ERP_M_14,Estimated Resident Population - Males - 60-64 years (no.)
2012,608182,ERP_M_14,Estimated Resident Population - Males - 60-64 years (no.)
2013,614472,ERP_M_14,Estimated Resident Population - Males - 60-64 years (no.)
2009,430379,ERP_M_15,Estimated Resident Population - Males - 65-69 years (no.)
2010,451241,ERP_M_15,Estimated Resident Population - Males - 65-69 years (no.)
2011,474253,ERP_M_15,Estimated Resident Population - Males - 65-69 years (no.)
2012,508032,ERP_M_15,Estimated Resident Population - Males - 65-69 years (no.)
2013,537242,ERP_M_15,Estimated Resident Population - Males - 65-69 years (no.)
2009,329642,ERP_M_16,Estimated Resident Population - Males - 70-74 years (no.)
2010,344030,ERP_M_16,Estimated Resident Population - Males - 70-74 years (no.)
2011,357296,ERP_M_16,Estimated Resident Population - Males - 70-74 years (no.)
2012,371058,ERP_M_16,Estimated Resident Population - Males - 70-74 years (no.)
2013,383269,ERP_M_16,Estimated Resident Population - Males - 70-74 years (no.)
2009,252539,ERP_M_17,Estimated Resident Population - Males - 75-79 years (no.)
2010,253763,ERP_M_17,Estimated Resident Population - Males - 75-79 years (no.)
2011,258411,ERP_M_17,Estimated Resident Population - Males - 75-79 years (no.)
2012,267237,ERP_M_17,Estimated Resident Population - Males - 75-79 years (no.)
2013,277129,ERP_M_17,Estimated Resident Population - Males - 75-79 years (no.)
2009,180966,ERP_M_18,Estimated Resident Population - Males - 80-84 years (no.)
2010,186331,ERP_M_18,Estimated Resident Population - Males - 80-84 years (no.)
2011,190572,ERP_M_18,Estimated Resident Population - Males - 80-84 years (no.)
2012,192716,ERP_M_18,Estimated Resident Population - Males - 80-84 years (no.)
2013,193859,ERP_M_18,Estimated Resident Population - Males - 80-84 years (no.)
2009,124007,ERP_M_19,Estimated Resident Population - Males - 85 and over (no.)
2010,131584,ERP_M_19,Estimated Resident Population - Males - 85 and over (no.)
2011,139070,ERP_M_19,Estimated Resident Population - Males - 85 and over (no.)
2012,146889,ERP_M_19,Estimated Resident Population - Males - 85 and over (no.)
2013,156490,ERP_M_19,Estimated Resident Population - Males - 85 and over (no.)
2009,10800797,ERP_M_20,Estimated Resident Population - Males - Total (no.)
2010,10967831,ERP_M_20,Estimated Resident Population - Males - Total (no.)
2011,11118234,ERP_M_20,Estimated Resident Population - Males - Total (no.)
2012,11312823,ERP_M_20,Estimated Resident Population - Males - Total (no.)
2013,11518199,ERP_M_20,Estimated Resident Population - Males - Total (no.)
2009,693715,ERP_F_2,Estimated Resident Population - Females - 0-4 years (no.)
2010,707690,ERP_F_2,Estimated Resident Population - Females - 0-4 years (no.)
2011,709587,ERP_F_2,Estimated Resident Population - Females - 0-4 years (no.)
2012,724790,ERP_F_2,Estimated Resident Population - Females - 0-4 years (no.)
2013,738011,ERP_F_2,Estimated Resident Population - Females - 0-4 years (no.)
2009,656114,ERP_F_3,Estimated Resident Population - Females - 5-9 years (no.)
2010,662272,ERP_F_3,Estimated Resident Population - Females - 5-9 years (no.)
2011,675429,ERP_F_3,Estimated Resident Population - Females - 5-9 years (no.)
2012,690320,ERP_F_3,Estimated Resident Population - Females - 5-9 years (no.)
2013,707822,ERP_F_3,Estimated Resident Population - Females - 5-9 years (no.)
2009,674651,ERP_F_4,Estimated Resident Population - Females - 10-14 years (no.)
2010,674485,ERP_F_4,Estimated Resident Population - Females - 10-14 years (no.)
2011,676322,ERP_F_4,Estimated Resident Population - Females - 10-14 years (no.)
2012,678260,ERP_F_4,Estimated Resident Population - Females - 10-14 years (no.)
2013,682061,ERP_F_4,Estimated Resident Population - Females - 10-14 years (no.)
2009,710996,ERP_F_5,Estimated Resident Population - Females - 15-19 years (no.)
2010,710727,ERP_F_5,Estimated Resident Population - Females - 15-19 years (no.)
2011,706860,ERP_F_5,Estimated Resident Population - Females - 15-19 years (no.)
2012,709039,ERP_F_5,Estimated Resident Population - Females - 15-19 years (no.)
2013,712659,ERP_F_5,Estimated Resident Population - Females - 15-19 years (no.)
2009,767754,ERP_F_6,Estimated Resident Population - Females - 20-24 years (no.)
2010,780986,ERP_F_6,Estimated Resident Population - Females - 20-24 years (no.)
2011,788193,ERP_F_6,Estimated Resident Population - Females - 20-24 years (no.)
2012,794895,ERP_F_6,Estimated Resident Population - Females - 20-24 years (no.)
2013,803983,ERP_F_6,Estimated Resident Population - Females - 20-24 years (no.)
2009,775995,ERP_F_7,Estimated Resident Population - Females - 25-29 years (no.)
2010,800887,ERP_F_7,Estimated Resident Population - Females - 25-29 years (no.)
2011,817086,ERP_F_7,Estimated Resident Population - Females - 25-29 years (no.)
2012,837419,ERP_F_7,Estimated Resident Population - Females - 25-29 years (no.)
2013,855035,ERP_F_7,Estimated Resident Population - Females - 25-29 years (no.)
2009,738068,ERP_F_8,Estimated Resident Population - Females - 30-34 years (no.)
2010,748621,ERP_F_8,Estimated Resident Population - Females - 30-34 years (no.)
2011,766950,ERP_F_8,Estimated Resident Population - Females - 30-34 years (no.)
2012,792658,ERP_F_8,Estimated Resident Population - Females - 30-34 years (no.)
2013,824834,ERP_F_8,Estimated Resident Population - Females - 30-34 years (no.)
2009,808009,ERP_F_9,Estimated Resident Population - Females - 35-39 years (no.)
2010,806239,ERP_F_9,Estimated Resident Population - Females - 35-39 years (no.)
2011,791706,ERP_F_9,Estimated Resident Population - Females - 35-39 years (no.)
2012,781494,ERP_F_9,Estimated Resident Population - Females - 35-39 years (no.)
2013,778219,ERP_F_9,Estimated Resident Population - Females - 35-39 years (no.)
2009,761613,ERP_F_10,Estimated Resident Population - Females - 40-44 years (no.)
2010,774248,ERP_F_10,Estimated Resident Population - Females - 40-44 years (no.)
2011,800496,ERP_F_10,Estimated Resident Population - Females - 40-44 years (no.)
2012,825253,ERP_F_10,Estimated Resident Population - Females - 40-44 years (no.)
2013,839067,ERP_F_10,Estimated Resident Population - Females - 40-44 years (no.)
2009,783995,ERP_F_11,Estimated Resident Population - Females - 45-49 years (no.)
2010,784237,ERP_F_11,Estimated Resident Population - Females - 45-49 years (no.)
2011,777690,ERP_F_11,Estimated Resident Population - Females - 45-49 years (no.)
2012,773305,ERP_F_11,Estimated Resident Population - Females - 45-49 years (no.)
2013,770792,ERP_F_11,Estimated Resident Population - Females - 45-49 years (no.)
2009,720965,ERP_F_12,Estimated Resident Population - Females - 50-54 years (no.)
2010,736829,ERP_F_12,Estimated Resident Population - Females - 50-54 years (no.)
2011,754436,ERP_F_12,Estimated Resident Population - Females - 50-54 years (no.)
2012,769697,ERP_F_12,Estimated Resident Population - Females - 50-54 years (no.)
2013,782792,ERP_F_12,Estimated Resident Population - Females - 50-54 years (no.)
2009,647926,ERP_F_13,Estimated Resident Population - Females - 55-59 years (no.)
2010,659626,ERP_F_13,Estimated Resident Population - Females - 55-59 years (no.)
2011,673924,ERP_F_13,Estimated Resident Population - Females - 55-59 years (no.)
2012,690394,ERP_F_13,Estimated Resident Population - Females - 55-59 years (no.)
2013,705276,ERP_F_13,Estimated Resident Population - Females - 55-59 years (no.)
2009,578022,ERP_F_14,Estimated Resident Population - Females - 60-64 years (no.)
2010,597346,ERP_F_14,Estimated Resident Population - Females - 60-64 years (no.)
2011,614802,ERP_F_14,Estimated Resident Population - Females - 60-64 years (no.)
2012,615828,ERP_F_14,Estimated Resident Population - Females - 60-64 years (no.)
2013,626352,ERP_F_14,Estimated Resident Population - Females - 60-64 years (no.)
2009,435484,ERP_F_15,Estimated Resident Population - Females - 65-69 years (no.)
2010,457154,ERP_F_15,Estimated Resident Population - Females - 65-69 years (no.)
2011,480007,ERP_F_15,Estimated Resident Population - Females - 65-69 years (no.)
2012,515590,ERP_F_15,Estimated Resident Population - Females - 65-69 years (no.)
2013,544716,ERP_F_15,Estimated Resident Population - Females - 65-69 years (no.)
2009,350656,ERP_F_16,Estimated Resident Population - Females - 70-74 years (no.)
2010,360864,ERP_F_16,Estimated Resident Population - Females - 70-74 years (no.)
2011,370375,ERP_F_16,Estimated Resident Population - Females - 70-74 years (no.)
2012,384367,ERP_F_16,Estimated Resident Population - Females - 70-74 years (no.)
2013,398035,ERP_F_16,Estimated Resident Population - Females - 70-74 years (no.)
2009,295026,ERP_F_17,Estimated Resident Population - Females - 75-79 years (no.)
2010,296045,ERP_F_17,Estimated Resident Population - Females - 75-79 years (no.)
2011,299930,ERP_F_17,Estimated Resident Population - Females - 75-79 years (no.)
2012,305669,ERP_F_17,Estimated Resident Population - Females - 75-79 years (no.)
2013,312353,ERP_F_17,Estimated Resident Population - Females - 75-79 years (no.)
2009,247645,ERP_F_18,Estimated Resident Population - Females - 80-84 years (no.)
2010,250653,ERP_F_18,Estimated Resident Population - Females - 80-84 years (no.)
2011,253460,ERP_F_18,Estimated Resident Population - Females - 80-84 years (no.)
2012,253075,ERP_F_18,Estimated Resident Population - Females - 80-84 years (no.)
2013,251970,ERP_F_18,Estimated Resident Population - Females - 80-84 years (no.)
2009,244222,ERP_F_19,Estimated Resident Population - Females - 85 and over (no.)
2010,255010,ERP_F_19,Estimated Resident Population - Females - 85 and over (no.)
2011,264537,ERP_F_19,Estimated Resident Population - Females - 85 and over (no.)
2012,273378,ERP_F_19,Estimated Resident Population - Females - 85 and over (no.)
2013,283105,ERP_F_19,Estimated Resident Population - Females - 85 and over (no.)
2009,10890856,ERP_F_20,Estimated Resident Population - Females - Total (no.)
2010,11063919,ERP_F_20,Estimated Resident Population - Females - Total (no.)
2011,11221790,ERP_F_20,Estimated Resident Population - Females - Total (no.)
2012,11415431,ERP_F_20,Estimated Resident Population - Females - Total (no.)
2013,11617082,ERP_F_20,Estimated Resident Population - Females - Total (no.)
2009,1425684,ERP_P_2,Estimated Resident Population - Persons - 0-4 years (no.)
2010,1454012,ERP_P_2,Estimated Resident Population - Persons - 0-4 years (no.)
2011,1458114,ERP_P_2,Estimated Resident Population - Persons - 0-4 years (no.)
2012,1489345,ERP_P_2,Estimated Resident Population - Persons - 0-4 years (no.)
2013,1517808,ERP_P_2,Estimated Resident Population - Persons - 0-4 years (no.)
2009,1346100,ERP_P_3,Estimated Resident Population - Persons - 5-9 years (no.)
2010,1360182,ERP_P_3,Estimated Resident Population - Persons - 5-9 years (no.)
2011,1387634,ERP_P_3,Estimated Resident Population - Persons - 5-9 years (no.)
2012,1419580,ERP_P_3,Estimated Resident Population - Persons - 5-9 years (no.)
2013,1455775,ERP_P_3,Estimated Resident Population - Persons - 5-9 years (no.)
2009,1386256,ERP_P_4,Estimated Resident Population - Persons - 10-14 years (no.)
2010,1384504,ERP_P_4,Estimated Resident Population - Persons - 10-14 years (no.)
2011,1387865,ERP_P_4,Estimated Resident Population - Persons - 10-14 years (no.)
2012,1391602,ERP_P_4,Estimated Resident Population - Persons - 10-14 years (no.)
2013,1398497,ERP_P_4,Estimated Resident Population - Persons - 10-14 years (no.)
2009,1462438,ERP_P_5,Estimated Resident Population - Persons - 15-19 years (no.)
2010,1460048,ERP_P_5,Estimated Resident Population - Persons - 15-19 years (no.)
2011,1453459,ERP_P_5,Estimated Resident Population - Persons - 15-19 years (no.)
